Date,AAPL
2022-01-03,352.39727783203125
2022-01-04,354.5077819824219
2022-01-05,350.8650817871094
2022-01-06,349.22674560546875
2022-01-07,349.149658203125
2022-01-10,347.6849365234375
2022-01-11,349.37139892578125
2022-01-12,349.7664489746094
2022-01-13,348.080078125
2022-01-14,346.0948791503906
2022-01-18,340.9970397949219
2022-01-19,337.6241149902344
2022-01-20,334.7138061523437
2022-01-21,330.15997314453125
2022-01-24,331.56793212890625
2022-01-25,330.748291015625
2022-01-26,329.3016052246094
2022-01-27,329.3884582519531
2022-01-28,334.7503967285156
2022-01-31,338.5791320800781
2022-02-01,341.3372497558594
2022-02-02,343.3528137207031
2022-02-03,338.4826965332031
2022-02-04,338.3765869140625
2022-02-07,338.4056091308594
2022-02-08,341.9159851074219
2022-02-09,344.9345092773437
2022-02-10,339.99676513671875
2022-02-11,334.9240417480469
2022-02-14,333.573974609375
2022-02-15,337.749755859375
2022-02-16,337.2193603515625
2022-02-17,331.442626953125
2022-02-18,329.3361511230469
2022-02-22,324.5357971191406
2022-02-23,320.1991271972656
2022-02-24,320.9911193847656
2022-02-25,328.9110717773437
2022-02-28,327.7521057128906
2022-03-01,321.7831115722656
2022-03-02,327.4237365722656
2022-03-03,326.5834655761719
2022-03-04,324.9800720214844
2022-03-07,317.2532958984375
2022-03-08,315.3796081542969
2022-03-09,322.0149230957031
2022-03-10,320.7689514160156
2022-03-11,318.7503662109375
2022-03-14,318.79864501953125
2022-03-15,324.709716796875
2022-03-16,329.70318603515625
2022-03-17,333.65350341796875
2022-03-18,336.0851135253906
2022-03-21,334.3910522460937
2022-03-22,337.00469970703125
2022-03-23,332.4260559082031
2022-03-24,335.9591979980469
2022-03-25,337.39190673828125
2022-03-28,338.3115234375
2022-03-29,341.68023681640625
2022-03-30,340.857421875
2022-03-31,335.736572265625
2022-04-01,336.8788757324219
2022-04-04,338.06951904296875
2022-04-05,335.2622985839844
2022-04-06,333.72314453125
2022-04-07,334.90411376953125
2022-04-08,336.25933837890625
2022-04-11,332.2227478027344
2022-04-12,331.2740783691406
2022-04-13,334.70086669921875
2022-04-14,333.3993835449219
2022-04-18,333.21539306640625
2022-04-19,338.0765686035156
2022-04-20,340.41033935546875
2022-04-21,336.7111511230469
2022-04-22,327.56982421875
2022-04-25,329.78741455078125
2022-04-26,321.9338684082031
2022-04-27,322.4955749511719
2022-04-28,328.5575561523437
2022-04-29,319.26123046875
2022-05-02,320.27801513671875
2022-05-03,320.7718811035156
2022-05-04,329.81646728515625
2022-05-05,319.79376220703125
2022-05-06,318.660888671875
2022-05-09,312.3955078125
2022-05-10,311.6498107910156
2022-05-11,308.38641357421875
2022-05-12,307.5923767089844
2022-05-13,312.03717041015625
2022-05-16,312.5697937011719
2022-05-17,316.753173828125
2022-05-18,305.5684509277344
2022-05-19,303.2734375
2022-05-20,303.2589416503906
2022-05-23,309.4906005859375
2022-05-24,310.0245361328125
2022-05-25,311.8591003417969
2022-05-26,316.8774719238281
2022-05-27,322.3326416015625
2022-05-31,320.5175476074219
2022-06-01,318.7314758300781
2022-06-02,323.01220703125
2022-06-03,319.69244384765625
2022-06-06,319.78955078125
2022-06-07,322.42974853515625
2022-06-08,319.7215270996094
2022-06-09,313.5286865234375
2022-06-10,305.15167236328125
2022-06-13,296.6194152832031
2022-06-14,295.3769836425781
2022-06-15,298.2210998535156
2022-06-16,291.10601806640625
2022-06-17,290.6311950683594
2022-06-21,297.0233154296875
2022-06-22,296.3616638183594
2022-06-23,298.4339904785156
2022-06-24,306.4897766113281
2022-06-27,305.8476867675781
2022-06-28,300.9636535644531
2022-06-29,301.6543884277344
2022-06-30,299.4848327636719
2022-07-01,302.43267822265625
2022-07-05,301.3236083984375
2022-07-06,302.004638671875
2022-07-07,305.4487609863281
2022-07-08,304.9721374511719
2022-07-11,303.2597351074219
2022-07-12,301.5765380859375
2022-07-13,299.4166564941406
2022-07-14,298.1032409667969
2022-07-15,304.3208923339844
2022-07-18,302.36444091796875
2022-07-19,309.6255187988281
2022-07-20,310.2387084960937
2022-07-21,311.8641662597656
2022-07-22,310.5502014160156
2022-07-25,311.4262390136719
2022-07-26,309.0707397460937
2022-07-27,313.4214782714844
2022-07-28,316.5556640625
2022-07-29,319.8941345214844
2022-08-01,319.29071044921875
2022-08-02,315.3973693847656
2022-08-03,319.407470703125
2022-08-04,318.6288757324219
2022-08-05,319.2225036621094
2022-08-08,319.6605834960937
2022-08-09,319.1641540527344
2022-08-10,324.3130187988281
2022-08-11,324.8094177246094
2022-08-12,328.8195495605469
2022-08-15,330.3185119628906
2022-08-16,332.6252136230469
2022-08-17,331.1263732910156
2022-08-18,331.49615478515625
2022-08-19,328.6837463378906
2022-08-22,322.5593566894531
2022-08-23,320.9502868652344
2022-08-24,321.6816711425781
2022-08-25,324.89019775390625
2022-08-26,314.9234924316406
2022-08-29,313.1389465332031
2022-08-30,310.15484619140625
2022-08-31,307.82403564453125
2022-09-01,309.1990966796875
2022-09-02,305.9809265136719
2022-09-06,304.4595642089844
2022-09-07,308.48712158203125
2022-09-08,310.3498229980469
2022-09-09,314.2896728515625
2022-09-12,316.5228576660156
2022-09-13,304.00128173828125
2022-09-14,304.32305908203125
2022-09-15,302.66522216796875
2022-09-16,301.211181640625
2022-09-19,303.2645263671875
2022-09-20,300.2040710449219
2022-09-21,295.1097106933594
2022-09-22,293.8483581542969
2022-09-23,289.2917785644531
2022-09-26,286.2215576171875
2022-09-27,284.8330078125
2022-09-28,290.142578125
2022-09-29,285.722900390625
2022-09-30,280.921875
