Date,AAPL
2022-01-03,179.95388793945312
2022-01-04,177.67001342773438
2022-01-05,172.94398498535156
2022-01-06,170.05699157714844
2022-01-07,170.22503662109375
2022-01-10,170.2448272705078
2022-01-11,173.1021728515625
2022-01-12,173.54708862304688
2022-01-13,170.2448272705078
2022-01-14,171.11489868164062
2022-01-18,167.8818359375
2022-01-19,164.3521728515625
2022-01-20,162.65158081054688
2022-01-21,160.57528686523438
2022-01-24,159.7942352294922
2022-01-25,157.97500610351562
2022-01-26,157.88600158691406
2022-01-27,157.42132568359375
2022-01-28,168.40582275390625
2022-01-31,172.80555725097656
2022-02-01,172.63751220703125
2022-02-02,173.8535919189453
2022-02-03,170.94679260253906
2022-02-04,170.6597137451172
2022-02-07,169.93707275390625
2022-02-08,173.0752410888672
2022-02-09,174.51065063476562
2022-02-10,170.39244079589844
2022-02-11,166.94737243652344
2022-02-14,167.18495178222656
2022-02-15,171.05569458007812
2022-02-16,170.81813049316406
2022-02-17,167.18495178222656
2022-02-18,165.6208038330078
2022-02-22,162.6707305908203
2022-02-23,158.46339416503906
2022-02-24,161.10658264160156
2022-02-25,163.19541931152344
2022-02-28,163.46266174316406
2022-03-01,161.56198120117188
2022-03-02,164.8882598876953
2022-03-03,164.5615692138672
2022-03-04,161.5322723388672
2022-03-07,157.7010955810547
2022-03-08,155.85977172851562
2022-03-09,161.31446838378906
2022-03-10,156.92893981933594
2022-03-11,153.17697143554688
2022-03-14,149.10821533203125
2022-03-15,153.5333709716797
2022-03-16,157.98817443847656
2022-03-17,159.0078582763672
2022-03-18,162.3341522216797
2022-03-21,163.72007751464844
2022-03-22,167.1255645751953
2022-03-23,168.50160217285156
2022-03-24,172.32289123535156
2022-03-25,172.9663543701172
2022-03-28,173.8375244140625
2022-03-29,177.16378784179688
2022-03-30,175.98574829101562
2022-03-31,172.85745239257812
2022-04-01,172.5604705810547
2022-04-04,176.6490020751953
2022-04-05,173.30291748046875
2022-04-06,170.1053466796875
2022-04-07,170.41224670410156
2022-04-08,168.38279724121094
2022-04-11,164.0863800048828
2022-04-12,165.97718811035156
2022-04-13,168.68968200683594
2022-04-14,163.6309814453125
2022-04-18,163.4132080078125
2022-04-19,165.71978759765625
2022-04-20,165.55149841308594
2022-04-21,164.74964904785156
2022-04-22,160.16610717773438
2022-04-25,161.24517822265625
2022-04-26,155.22621154785156
2022-04-27,154.99851989746094
2022-04-28,161.99755859375
2022-04-29,156.06765747070312
2022-05-02,156.37457275390625
2022-05-03,157.87928771972656
2022-05-04,164.35366821289062
2022-05-05,155.1964874267578
2022-05-06,155.93014526367188
2022-05-09,150.75494384765625
2022-05-10,153.1839141845703
2022-05-11,145.24267578125
2022-05-12,141.33648681640625
2022-05-13,145.84742736816406
2022-05-16,144.29090881347656
2022-05-17,147.9591827392578
2022-05-18,139.61143493652344
2022-05-19,136.17120361328125
2022-05-20,136.4091339111328
2022-05-23,141.8817596435547
2022-05-24,139.1553497314453
2022-05-25,139.31399536132812
2022-05-26,142.5460205078125
2022-05-27,148.35572814941406
2022-05-31,147.56259155273438
2022-06-01,147.43368530273438
2022-06-02,149.91224670410156
2022-06-03,144.1322784423828
2022-06-06,144.88577270507812
2022-06-07,147.43368530273438
2022-06-08,146.6901397705078
2022-06-09,141.41580200195312
2022-06-10,135.95306396484375
